,Content
7235,"It's been 4 years since I flew out of this airport. The terminal is bright, spacious and has plenty of windows through which to see the airfield. Surprisingly, the airport was not very crowded on the Friday before Labor Day. There was plenty of seating at the gates. The airport has added new dining options from sit down restaurants to fast food. The only drawback to this airport is the lack of bathrooms. The bathrooms are small and there are only 3 stalls in each of the men's bathrooms. This is the same critique I had 4 years ago when I last flew out of this airport. Given the number of passengers that fly through the airport daily, renovating and/or expanding bathrooms should be considered."
7236,"DAL is a great airport, All tho parking may bit of a walk getting in the airport primarily ran by Southwest. Walks to the gate are not long, There are great Retail services around, Wifi could use a little more speed but Overall Great (Using it to write this). Security Check was a bit long for new travelers but you will get used to it, Lounge has Outlets every other seat so charging was a non-issue, living in the Parenting City of MCI this airport is better in my Opinion."
7237,"Airport layout was easy to understand and made it easy to find what you needed. There was plenty of parking and Garage C has a skybridge on level 3 that goes straight to check-in and security. The general security line was long, but TSA PreCheck and the priority line were empty. After security, finding your gate and boarding the plane was simple & easy."
7238,"Dallas Love Filed has turned into a great airport, it's very travel friendly and is just great overall !"
7239,"Very small tiny airport, essentially ghost town at night, but it's nice to have a close back up to cvg"
7240,This airport is small enough to be comfortable but not isolated from the world with very interesting connections to the major hubs
7241,"Convenient and cheap, just old and dated."
7243,"The Daytona Beach airport is a very lovely and clean airport. Each gate has ample seating, there is plenty of sunlight that shines through the large skylights and large windows by the gates. Considering the size of the airport, the food and shopping options are small but nice! Getting to the airport if you don't have a car or are not renting is rather annoying since there are only two bus lines that serve the terminal and they mainly run on an hourly schedule so if you get in at a time inconvenient to the bus schedule and don't have a friend to pick you up you're basically forced to use uber/lyft"
7244,I like the new renovations a lot but the new carpet blends with the walls making it very very bright.
7245,"Nice airport, I like it! It's very convenient to get there, and since it's not one of those giant airport, you'll know where you need to go in a short time."
7246,TINY!!
7247,"DIA is looking a little worse for wear these days; it's still well laid-out and convenient to get between terminals, but the signage and extensive carpeting is dated. Delta is not the highlight here (e.g., no SkyClub) but the Centurion Lounge was expansive and had some regional character. We also didn't have to wait in line to get in, which was a huge plus."
7249,"I arrived From ICT (Wichita, KS) So I don't really know anything about check-in or security check. I only go there Because ICT and SLC don't have connecting flights."
7250,"Sorry, I am unsure about if the baggage claim is good, because I only took a carry-on Also I had a flight to SLC (Salt Lake City) airport after My flight from DEN."
7251,Going through immigration very quickly. No waiting time. But the suitcase didn't come. Suitcases left about 10 minutes after I went through immigration.
7253,Very hard and chaotic to get throught security had to arrive 4 hours early because security took a hour to get through.
7254,It’s a large airport but easy to navigate. Nice rest areas at terminals. Bathrooms are beautiful and well maintained.
7255,"Really fast with C Checkin and Bridge Security! It took about half an hour to get past Siko. United Lounge surprisingly good, pretty new too. You can definitely go there again ;D"
7256,"Great airport overall, could use a little more signage in the check in area. Everything else was amazing, especially the remodeled parts of the terminal!"
7257,"KDSM is my home airport. It is an international airport that celebrities often use as there port of entry because it is far less busy within Customs (located outside the main terminal). Terminal is on the smaller size but with multiple flights leaving out every day, it is usually very busy - especially in the morning. No lounge space here. Airport is hoping to double the amount of gates within the next 10 years which will help broaden the scope of travel to the DSM area."
7258,Baggage claim has greatly improved from a year ago! Back to the speed it used to be and belongs. Nice job!
7259,"DSM is a small airport, so there are very few hassles making your way in or out. Curb to gate in 20 minutes or less is possible if you're not checking a bag, and gate to curb gets you out of there in 5 minutes. Beware arriving in DSM after 21:00 if you expect to rent a vehicle, the rental service counters may be closed for the night; best to call ahead. Good prices on Cyclone/Hawkeye tees at the shop in the terminal pre-security."
7263,"Just arriving late at night, not seen much of airport... but they announced luggage on one carousel and the it was on another one... and getting a taxi is not easy, you have to walk a lot to taxi area and service is not very ""comfortable"" late at night..."
7265,"A very easy airport, sky train in delta terminal. I would recommend for convenience and great stores."
7266,"One of the best laid-out airports in the U.S., with great SkyClubs. Easy to navigate, while huge, and with great options for Delta flights all over the country and the world."
7267,"Having been here as much as I have, this airport never disappoints. Never too crowded, efficient, and the best airport that I've been to in my opinion. Well done."
7268,"KLM lost my bag in Amsterdam, got delivered Sunday Night - Later than it should have, got 5,000 SkyMiles as a result of this delay"
7269,"Oh, Detroit, good ol' Detroit. everything other then the baggage was good. But baggage was awful, after i had grabbed my baggage I had to figure out how to re enter the airport.there was no directory or anything. I spent more time figuring out how to get in then inside."
7271,"The airport's not too bad for the immigration customs when you come here. Lines will take a long time but you shouldn't worry about it that much, you'll get to the baggage claim which takes a lot of time. But the worst part I got at the airport was the delay on an American Airlines flight. TSA wasn't available until maybe hours or so before the flight departed from DTW."
7272,TSA security was problematic with our duty free alcoholic item that we brought in. We finally just checked it with the airline after they made a fuss.
7273,The baggage claim for international flights was very slow. It took almost 45 minutes from arrival to get the bags. Then the bag transfer wasn't very clear.
7274,"So, I am not a bad person but i put a camera in a wine bag and on the way back from RSW they found a wine bottle opener witch the TSA at DTW did not see witch was scary"
7280,"A small but well-run airport serving an important market. One thing to note is that TSA is legendarily strict because of the number of flights to Mexico/Central America, so allow extra time and make sure you don't have anything that could get your bag inspected. Decent options on American and United, only option for Delta is to ATL."
7281,"This airport is surprisingly busy for it's size and location. Very friendly staff at check in, security and at the gates. Past security, there are multiple food options for most any tastes. No lounge, but given it's size and passenger count, this shouldn't be expected. If flying Delta, you're only connection is ATL. If you're flying United you can fly into DEN, IAH and ORD. If flying American you can fly LAX, PHX, DFW, ORD at present. AUS will be discontinued in Feb. If sticking to OneWorld, you can fly Alaska to SEA with evening flights."
7282,El Paso recently introduced a new parking system that is tedious to handle and a tad difficult if you don’t know how to use it they need to introduce a tutorial on how to work the thing.
7283,"Needs better food options. For as small as this airport is, luggage takes quite a while to get out tot he carousel. ELP has a number of shortcomings, but all in all, it's an extremely easy airport to go thru."
7284,NO COMMENT
7291,"Fairbanks is a very nice little airport, you often see people meeting someone they know there because of the small Alaska community. It has a nice coffeeshop and restaurant and bar with a good varity and opening hours compared to the airports small size. When arriving at the airport you have a 2 min walk to leave the airport. If you have bagage you pick that up in the terminal. I can only recommend the airport. Easy in and out with good facilities and parking right in front of the terminal."
7292,"Baggage claim was a bit disorganized, but bags arrived faster than at some. Cool exhibits, taxidermies, etc. all around."
7293,"I just love the airport, and how getting through security is faster than with Clear at some airports"
7294,"A very nice airport for a market this size. TSA even efficient and FRIENDLY!!! Clean airport, but suffers from a common problem encountered in Fairbanks, insanely slow Wi-Fi connections. Put one full flight worth of passengers in the lounge and the speeds plummet to dial up in an instant."
7295,Its a little shocking to realize that the body of water running parallel to your runway is actually a Sea Plane base and that it is in use as you taxi to the gate. You also realize where you are when you taxi to the gate past half a dozen aircraft that are older than you and still in daily service. Fairbanks is a six gate facility with the bare necessities on the edge of the Arctic Circle.
7296,Was delayed an hour de-icing the aircraft because of a shortage of staff. The gate agent was very friendly though.
7297,Really nice small airport! I loved it the moment I walked off the jetway... It has a small town feel to it!
7298,I really like flying out of FAR with it being a smaller airport. Quick check-in and usually a fairly small security line. Enjoy flying out of the smaller airports.
7299,"A great small airport, security is always a breeze and the gate areas are updated and comfortable. Hope more airlines start flying here!"
7301,NEEDS SOME UPDATEING.
7305,We landed at 8:00PM and were connecting for a midnight departure. There was a single restaurant open at that time (closed at 9:00).
7306,In order to transfer airlines you have to exit security and walk outside to the other terminals. It was a pain especially with a short connection time.
7308,"It's been 11 years since I traveled through Terminal 1. The refurbished Terminal 1 is a world class modern airport terminal. It is spacious, brightly lit with plenty of seating and dining options aplenty. There are oodles of power ports and USB ports at the gates; however, some of the power ports were not working. Bathrooms are very clean. The concourses are wide and directions easy to follow to baggage claim. Security was a breeze with no wait time for the TSA-Pre checkpoints. WiFi was easy to connect too and blazing fast. The refurbished terminal is a significant upgrade to the old terminal 1"
7309,The WIFI was pretty good and the airport was clean and nice though a bit busy in the terminal and also unorganized security ( Nearly lost bag )
7310,"Security was long, but very fluid, got through fast. Lots of facilities, bought a plane model and went to a restaurant."
7311,It’s really just a ton of outdated buildings with a ton of restaurant that close at 9:00 PM with barely any seating. Avoid at all costs!
7313,"FLL is my home airport. Check in took a while as Air Canada messed up my family’s boarding passes. Security people were a bit rude, and kept sending us back to get our boarding passes fixed. The terminal before TSA is EXTREMELY outdated. It needs an update."
7314,"This was my first time flying out of FLL, and it was a refreshing change from the decrepit state of MIA. The terminal is much nicer and it's a far shorter journey through security to planeside. The Delta SkyClub is small and cozy, and immediately above Gates D7-D9, offering a nice view of the terminal area below."
7322,"Airport is very small and efficient. Not a big check in area but they were very good. Small security however fast. On the other side there is only one store, a bar and retail shop combined. 2 vending machines near the toilets and a water fountain. Airport was bright and spacious for a terminal of that size. Great wifi, however not so comfortable waiting chairs. Would definitely fly out of GFK again!"
7323,"You have to take GFK for what it is, small. You aren't going to have the luxuries of the major hubs. What it offers is a fast check in, fast security, and a comfortable terminal with wifi."
7324,"I found the GFK airport to be quite easy to go fly out of. The airport was small, as expected, so there was little discrepancy as to where to go."
7325,"While small, GRR was an extremely clean airport. They had free Wi-Fi, but very minimal food and retail."
7326,"While small, GRR was an extremely clean airport. They had free Wi-Fi, but very minimal food and retail."
7327,"No real public transit options, however pickup/drop off area is easy and plenty of parking. Security is nice and quick. The terminal is also very nice, however food options can feel a little limited."
7328,"Once I landed, the airport was nothing much to look at but once you step inside, it's a very nice airport. The parking lot is also very nice and spacious."
7329,"The good thing about this airport is that it is small, very easy to navigate, very little signage is required. Not a lot of food amenities, there's a Starbucks and a small restaurant but that's expected from a small airport. The airport has just undergone a big renovation project that really renovated the parking garage, added a roof to the top floor, and the sky bridge provides convenient access to the terminal from the upper levels. Main lounge is small but adequate, and has an array of small amenities like an ATM, shoe shine, a small conference room, etc. Security is one of the positives of this airport. There aren't a lot of travelers during most parts of the day so the security line it next to nothing. Nothing at all if you have Pre-Check. Terminal layout after security is very simple and small. 7 gates in A, 8 gates in B. All along a simple corridor with small shops and coffee along the way. Average delay is only 5 minutes for any given flight. Overall, this is a great local airport, located a convenient 13 miles (21km) from downtown Grand Rapids. The airport has a good punctuality, good parking, very easy navigation, and a very hassle-free experience unlike that of the modern airport."
7330,Nice small airport. Everyone was friendly and easy to walk around.
7334,"The security guard checking bags was extremely old and it felt like it was a training ground for older TSA agents which is good, but there needed to be some more trainers their."
7335,PTI definitely shows its age a bit. Not a lot in terms of food or retail at least on the south wing. Looks outdated in general. Friendly staff and good Wifi tho.
7336,Headed to Europe for vacation! Little did I know this would be my final trip for awhile due to Covid and a bad marriage.
7337,Its a good airport its small and easy to go to lines are not long for security and the longest wait time is check in
7338,NOT A BAD AIRPORT..
7339,small and reasonable prices.
7340,A quick transit from the arrival gate to the baggage claim whereby the bags were available shortly after arrival.
7341,"I love flying through this airport! They've added more food services, and they are adding a lot more parking this year (2020)."
7342,"Amazing Airport. Everything was really nicely kept up and looked recently remodeled. They also have a big outside area past security, so you can be outside while you wait for your flight."
7343,"Best regional airport in the United States. Easy in, easy out. Cheap (close) parking, and enough amenities."
7344,"Beautifully landscaped, new terminal. Easy rental car return, quick security, nice outdoor garden after security where you can watch takeoffs and landings. All in all a wonderful, small airport."
7345,"Easy to get in and out of, cheap to park, mostly friendly staff and a decent amount of service. Currently under reno."
7352,"I love coming to this airport! Bags delivered quickly, car rental was a snap! Feels almost like flying private!"
7353,"Really awesome airport. It is a very small airport with not many flights. Check in is super simple and there is plenty of staff to help. Security is one of the easiest I've been through. There are a couple restaurants and shops. Wifi works fine. There is a very small lounge that sometimes goes unstaffed, but overall it's nice enough. I would recommend this airport."
7360,"Open airport, so no windows but it can be noisy, humid, and hot shortly after leaving aircraft but got used to it/."
7362,Nice airport only thing is there was a long line and the line is outside but not a big deal because it’s warm. I just wish there was some more space
7363,Easy airport to navigate and security and signage were clear. Nice outside area enroute to United Airlines terminal
7364,Can't complain for the most part. One downfall was that it was a bit confusing to get to check-in from the rental car drop off area.
7365,"The KAL lounge here was not that great, but still, if you have access it would be a nice shelter for you until your flight."
7366,"My family connected to an island hopper Hawaiian Airlines flight, but the interline didn't go smooth and our bags were delayed significantly."
7367,Long walk from international arrival to domestic departure. A lot of the terminal is open-air. Signage to get to the customs bus was not great. Directions to customs once off the bus was lacking. Customs folks were pleasant and helpful
7368,"A simple burger king meal was $15 without drinks, very expensive. The outdoor walkway and humid environment provides a unique airport experience though."
7371,This airport is massive. Give yourself at least 2.5 hrs minimum to switch terminals and get connecting flights. Distance from gates to immigration in Terminal E is very long. Thanks to Mobile Passport Control we were able to get through immigration without any long lines. Terminal E is gorgeous. Can't rate food etc as I just transited through it. wiFi connection (free airpot) was excellent.
7372,Lots of construction. Few food options. Broken bathrooms. It’s sad… this airport used to be much better. Looking forward to new renovations.
7373,"The luggage was probably outside during the thunderstorm and got leifder very wet, including the contents!"
7374,A MEGA airport. Plan lots of time if you need to switch terminals for your connecting flight. Lots of places to eat.
7377,"Fairly smooth on arrival although every other aspect of this airport involved long wait times. The signage is terrible and I got lost more than once. Baggage took forever to make it to reclaim, and the rental cars are only accessible via a bus which doesn’t arrive frequently. While waiting for the bus you’re stuck out in the hot humid environment and there is no air conditioned waiting area."
7378,"Crowded like any other airport, good selection for food but not anything special, not a whole lot of seating at Terminals."
7379,"Nice airport, not much to say here easy to get to baggage claim. I was in the A gates. A little bit of a walk maybe like .5/.25 of a mile to the baggage claim."
7380,Terminal E is under construction and should be avoided at all costs if you have people picking you up. Hav them pick you up in Terminal C or A to avoid the traffic
7381,Excellent hub for SouthWest with Lots of nice staff Security check was the usual long line but it only took like 20 Mins. Not much else to say.
7382,"Terminal facilities were plentiful. Arrived at Hobby from Austin via connecting flight. As originally posted on the airport directory, gate for connection was one gate away. But, that was changed to one far away. That was frustrating, but obviouly, part of traveling. The seats weren't the most comfrtable either. An airport is an airport if it gets you there."
7383,Small little airport perfect to get into when your departing quickly or arriving quickly. Good selection of snacks.
7384,"My first time in Honby, almost missed the sign that says to baggage. Well actually I did miss it! But otherwise easy to navigate"
7385,"Security was very fast. Although my ticket wasn't even checked, and still had to remove my belt, in the precheck line"
7386,Quick and easy navigation through the airport with decent restaurant choices. There are several electric outlets available throughout the terminal area and Wifi is free. Unfortunately there is no lounge here
7387,"There is now a chick-fil-a in the Houston Hobby airport, it's located in the international gate area. I believe gates 1-5. Other than this your best food option is Buffalo Wild Wings. All opinion though because there are other places to eat such as Wendy's, Pappas Burgers, Subway and Papaduex seafood."
7388,"Small airport is convenient for getting in and out of. Bad options for food/drinks, one of the most expensive airports in the country. About 12 nonstop destinations."
7389,"One of my favorite things about the Huntsville Airport is the hotel that is attached to the airport. I didn't expect this for a smaller airport, and it was very nice."
7390,NICE AIRPORT FAST TURNAROUNDS GREAT FOOD..
7393,"First time at IND. Wonderful facility compared to all the Los Angeles area airports. Very open feel, very clean."
7394,TSA PRe Check is very slow here. Newer machines take forever to process. Only terminal A has pre-check
7395,"TSA security is not staffed to efficiently handle the flow of people. Having traveled through the airport frequently, there are always large queues after RealID check. Machines and staffing are rotated but persons leave area and wait for replacement. Suggestively, the replacement show up and then the person rotate."
7396,One of the best airports I’ve ever been too. They have exceptional service throughout the airport security lines are easy.
7397,"I've traveled to dozens of airports in my lifetime, and I have to say that little ol Indy is certainly one of the best in America. Its so easy to get through security, even recently when I forgot my ID! The staff have always been consistently friendly and on top of that the airport itself is very modern, exceptionally clean, and has plenty of dining and food options although at a decent expense. Overall, about as good as they get in America!"
7398,"Indianapolis International is ranked as one of the best airports in the United States for a reason. As always, super clean, security efficient, and super friendly place."
7399,"It is one spacious and lovely airport, and if you do happen to be late, crew and airport staff always put you first, and I just in general love the airport."
7400,IND Airport is fairly spacious and has several restaurants on the inside of the terminal. The inside seems to be very modern and spacious.
7401,"New clean spacious airport. It was weird to see the baggage claim after existing the air-side (same for all US airports). The airport wasn’t far from the city, 20mins by car."
7402,"Best airport overall in the US! Clean, efficient and short TSA lines. Only complaint is that their prices at restaurants are pretty high in my opinion."
7404,"Airport's on the edge of town. Took awhile to get our bags. Reason I put is a 4-star is because it's a small airport serving a small area, so for those purposes it's got what you need."
7405,Lady at the AA counter was pretty rude. Granted I showed up 10 min before the flight.. with a guitar
7406,Its a very efficient airport and getting through security is super easy. The TSA staff + plus checkin staff were very friendly. There is direct busses every 30 minutes from downtown Ithaca and is very accessible.
7407,The airport is pretty nice. I love small airports because they are easy to get into. The security line was quick and easy. One of the biggest problems is that there is barely any food there just a few little snack stores but nothing that big. Overall my experience was good. I love flying with delta
7408,"I first though that, due to its unfortunate location, that this airport would be a dump. I was very surprised by how clean and efficient this airport is! Only problem is the lack of many food options."
7409,"I had read that Jackson was ranked as one of the top airports, and was completely baffled that it could be ranked anywhere near the top. It's set up really oddly, there are no real restaurants past security. It's much smaller than I expected. While getting there isn't difficult, check in is quick, it's the general atmosphere of an airport with very few amenities. I would expect this for a smaller city, but Jackson seems like it should have more options."
7410,"I flew in from Washington D.C. When i got to the aiport, it was clean, the people were nice, and the wifi was pretty good. On a scale of 1-10 i would give it a 9.99 because the airport was fantastic."
7411,"TSA is extremely active in their work. All bags checked, bottles with liquids open and not closed afterwards. Stuff in the bags messed up. Be prepared that you will be ""X-rayed"" by personnal eyes. Spelling the of names in passport and ticket were not the same due to new transliteration rules for cyrillic, and only in JAN airport clerks paid attention."
7412,"Getting to the airport was super easy, even with offsite car rental, there was no trouble checking any bags and getting through security took about 5 minutes. The bathrooms were very clean and smelled good."
7413,"the view from landing/taking off of the tetons is so pretty, especially in the winter when the snow is falling, tetons in the back. although landing in winter/when it’s snowing can be very rough, it is still cool to experience that one airport in the national park."
7414,"By far one of the most beautiful airports I have ever been to. The whole terminal is coated in a rich oak wood, which perfectly sets the stage for a trip to Wyoming. Plus, you board from the ramp, which is an awesome experience."
7415,"Jackson Hole is the most unique, interesting, and cool airport I have flown to in the USA. Where else can you disembark outside and see the mountains a mile away?"
7416,"Very nicely built airport. It looks like it belongs in the snow. An arch made of antlers to greet passengers to the airport is a great touch. Now, the reason for the 4 stars is, this only applies if you are making a connection through Jackson, you have to exit security then go back through it. So, don't make tight connections here at Jackson."
7417,Fast TSA and boarding pass. Of course I was 3 1/2 hours early…lol. Only downfall was no electric plugs in the lounge seats. Had to use wall sockets. No big deal though.
7418,"Got from the parking lot to the gate in less than 15 minutes, which allowed me plenty of time to go for some much-needed bites before my flight took off -- would go here again if I had a chance"
7419,Pristine and nice terminal facilities. JAX could do better with the food and retail services in the terminal but I do like the aviation museum however.
7420,"JAX is a relatively small but great airport. It's nicely designed and welcoming to its passengers. Getting to the city is a bit of a challenge if you don't want to use Uber/Lyft or a taxi. There is a regular bus line that takes about one hour to get to downtown but from there you need to make arrangements to get to your final destination. Mind you, there are no taxis waiting at the Rosa Parks bus stop."
7422,"My home airport and always my favorite. I got here too early this trip - and found that there's nothing open past security, not even for coffee, before 5:00 AM and the Starbucks locations were not particularly prompt about opening on time (not the fault of the airport)."
7423,"I have reviewed JIA previously. Basically no difference - it's a real nice airport. It's small, but does all the important things well. Would be nice if there were more options for eating/shopping, especially early in the morning which is when I am usually flying, but hard to expect given the size."
7424,"I will always have a soft spot for Jacksonville International as it is the closest thing to my ""home"" airport. My trips all begin and end here. As such I've watched the place grow and improve over the years, and I've had lots of practice dealing with the things that are specific to this place - getting to and from the airport, parking, security, baggage claim, etc. JAX may be small, but it's really nice - clean, efficient, and easy to navigate. Food choices are decent (but not spectacular), WiFi works, bathrooms are plentiful and clean. Free shuttles to and from long-term parking are an amenity I use every trip. Check-in with various airlines is smooth. Security is what it is, but no worse than anywhere else. There are nice waiting areas near the gates with extra power plugs. In short - this is a good airport."
7429,"Flight in was awesome. Amazing view on final/approach. Nice international Airport, not to big. At bag claim it gave some travel tips."
7432,"hmm, don’t really remember this airport. i remember it not being busy, which is good of course for baggage claim, security, and more. i thought it was just a normal, small airport. last year is when i found out they fly 777 and 787 there! i couldn’t believe it and since then i liked it a bit better."
7433,The Kahului Airport badly needs an upgrade in facilities. It serves its purpose well but it’s looking really dated in the terminal and gate area. The TSA agent we dealt with in TSA Precheck was a complete asshole with a terrible attitude. He’s the kind of guy that gives the organization a bad name. No spirit of aloha there.
7434,Kahului is not the nicest airport. Not very clean and a bit cramped for the number of passengers traveling through.
7435,OGG is always a great airport to land at. Everyone is always very happy. The walk to the baggage terminal from anywhere in the airport is always under 10 minutes and when you get there airport employees are always very quick about getting your luggage on the carousel
7436,Getting through security could’ve been a long process. Thankfully I was a single parent traveling with two kids under 12 so I got the special treatment- no complaints other than we had to leave paradise.
7437,"very busy airport, new terminal under construction, so the upgrade should help a lot, waiting area for flights is very cramped hopefully this will be addressed in the new terminal as well as some more restaurants and shops to checkout while you wait"
7438,"This is an airport in which if you don't have pre-check, no big deal. You can still make it through in good time. Just plan ahead is what I always say. Don't wait until the last hour to get through with any TSA lines. I noticed both lines moved almost equally in terms of time."
7441,"One of the nicest, newest airport terminals around. Glass jet bridges are a very nice touch, allwoing you to see the ground crew and nearby planes as you wait to board. Plenty of amenities in the airport too."
7442,"New terminal is nice, can use more food options closer to the gates rather than just in the middle of the terminal"
7443,"The new airport in Kansas City has been a long time coming but it ticks all the boxes. Easy check-in, efficient security. Good art, reasonable volume, great amenities, outstanding lounge. This raises the bar for what a non-hub airport for a medium size city should be."
7444,"So very much better than it used to be! It’s no longer torture if you show up early or your flight is delayed. I got my bags checked and through security very quickly, had plenty of time for BBQ, beer, coffee, picking up some snacks for the hotel, and just wandering around. Very easy to navigate and so much room. Love it!"
7445,The new KCI (actual code MCI) terminal is absolutely gorgeous and incredibly convenient. Easy to navigate with tons of amenities and food/drink options. Cannot recommend this terminal highly enough. If you had ever visited the old KCI terminals you won’t even believe you’re at the same airport.
7449,"As always, quick departure from the plane to walking at MCI. But, the gate seemed to be the farthest from the baggage claim possible. Once bag found, I moved quickly outdoors. Within a couple of minutes, ""The Sport"" bus showed up and took me to the car. All most reasonable."
7452,Definitely liked the airport for it's a small size and the ability to walk outside to the airplane. Wish they could modernize the check and counters for scanning tickets off cell phones.
7453,"Definitely an odd layout. The baggage claim area is a little crammed, but the rest of the airport is really cool and really unique."
7454,Small. Not a lot of room in the terminal or food. Security was a bit slow. All flights board on air stars no jetways
7457,Super easy in and to the gate. TSA was very easy. Very little open late at night. Vending machines were hard to find.
7458,"Couldn't be any easier than this. Very easy to get from the gate to the curb, particularly without any checked luggage."
7459,"Modern regional airport with a good selection of food options from Ruby Tuesday to Quizno. Car rentals are in the paking struture across from the terminal so no need to board any shuttle, a major time saver. Also to access car returns, you go in front of the terminal, so you can easily drop off people. From there, you need to go up one level to get to Departures"
7460,"Airport is small and easy to navigate. However, very disappointed in ""Covid-Restricted"" food services. Most food retailers only open for 2 hour window during peak hours without regard for needs of the travelling public."
7461,KOA It’s the best little open air airport! I love the natural breeze and ramp views as you board and deplane via air stairs!
7463,I liked it! It was outside and nice with the wonderful Hawaiian weather. Taxiing and deplaning did take a while but that’s not the airports fault. Baggage claim was ok just took a while. I’ll rate Wi-Fi and food service on the way back
7466,"The rental car return shuttles were very full. The check in line at the airport took almost an hour because of the Portland Flight ahead of us, and as well as pets that were being shipped. I had to wait for almost an hour before I was helped. The airport is all outside, which means the weather is warm. The seating at the airport wasn't very comfortable."
7467,"The airport is outdoors. The weather there after arriving at the airport is very warm. Getting off the plane, there is no bridge. You have to walk to the airport. The baggage claim had a problem that day. It stopped several times before the luggage arrived."
7468,Charming open air airport in Hawaii settings. No airconditioned terminal or waiting rooms. Check-in to mainland is a little bit complicated walking up and down between check-in / vetenary check / bag drop.
7469,"Lovely outdoor airport, rustic with few amenities but great staff and quick service. We arrived as we normally do for international flights and found ourselves with 2 hours to spare. Do not come too early to this airport for checkin, they don't even open until 8am. No lounge to be found."
7475,"LAS is in desperate need of expansion. It's conveniently located, but always feels hectic inside. Delta should open a SkyClub here as it has plenty of flights and there are plenty of Delta passengers. The Centurion Lounge, while spacious and nice, was crowded due to the paucity of other lounge options."
7476,"The small business lounge offers a good view, a small bar and a good little buffet for breakfast."
7477,"At that time, I was treated like a criminal by the immigration officers from the Home Security Agency simply because I had entered the USA too often within the last 12 months"
7478,"It’s a great airport once you get to know it, just the naming should still be McCarran. It’s my home airport, so I got to know it over the years"
7479,"The new named Harry reid international it's an old airport well the terminal 1 part it is, while the crew works to maintain the installations clean is always dirty due to the vast amount of traffic that occurs at the airport. Filled with casinos and memorabilia of the old las vegas the airport has something for everybody. Terminal 3 being the international part is the most modern area in the entire airport. Parking is definitely an issue for employees as for travelers alike, plan ahead if you want to park here, food options are plenty but the prices is one of the things most people complain, you'll see all type of people in the airport, being vegas everything seems wild."
7480,"Average Airport not really great, the smell of cigars annoys me. It’s alright to get anywhere in the southwest."
7481,Huge with 3 terminals connected by trains. Terminal 3 and probably the other 2 do not offer enough seating with ac outlets. And the seating consists of rows of black chairs. It is dated by today standards. It's hard to find where the hotel shuttles pick up. Only in T1?
7482,"Location is convenient but it was really kinda trashy. Like I had second thoughts about taking my shoes off for security, and I set my phone down only to realize it was wet and gross. Fair amount of trash left around."
7484,"Terrible experience!!! Terminal 3 had one security line that made you walk about a half mile just to get to the front. The line of planes to get out was terrible and they only were taking off on one runway, Vagas needs another runway for how big they are."
7489,"Lihue definitely is in need of updating and upgrading, it was built for just two to three inter island airlines back in the 80’s but now they have multiple airlines with transpacific flights on a daily basis making the terminal outdated to accommodate those transpacific flights, just one restaurant which is expensive but the food is good but not the best , got a Starbucks and a lounge that is closed every time I am there."
7490,"First time riding United and it was very nice and fun! The food was cold but the ""ginger ale"" was nice"
7492,"Cute little ""International Airport"" on Kauai. Nice island feel - open to the air in most sections. Not very many shops, but the Starbucks is nice for early morning flights. No international flights except for the Westjet one to Vancouver, Canada."
7493,"Very pittoresque little airport on the Island of Kauai. Just outside you will see the local free going chickens in different colours. Open air facilities and piers, but built in gates with aircondition. Close to the town of Lihue. Facilities are generally good and staff friendly."
7495,Such a beautiful island!
7496,They have really updated the main terminal and streamlined the TSA process. Very good facility for a small airport
7497,"Lincoln Municipal Airport is quite small, but very comfortable and friendly airport. There is free WiFi, quite well working, high speed. Airport also offers complimentary coffee for passengers waiting for boarding in gate areas, which is not usual (so far I experienced complimentary coffee only once in FRA in 2012)."
7499,a very nice small airport. That has open seating in places so you can smell fresh air while you sit.
7500,"Great little airport! It's almost kind of cute. Only a handful of gates, two bag claims. Rental car locations are a couple hundred feet from the terminal. Would love to fly into here again."
7501,This is the easiest airport to fly in and out of! Simply the best. It’s got that “Catch me if you can” feel. Old school
7502,"Long beach is a very nice and small airport. My tip is, don’t book an early flight because lots of people will all be getting there at the same time due to the close departure times."
7503,"it’s a great airport because of it size, easy to get in and easy to get out. The best way to get there would probably be a lyft, uber, or a bus."
7504,Greatest smallest airport. Convenient and efficient with class. Living in Southern California I will always try to fly in and out of Long Beach.
7505,Great experience. New glass terminal looks sharp. Deplane to ground transportation in less than 5 min.
7506,Easy airport with little to no lines at security. Price for food is a bit high. Easy and laid back atmosphere.
7507,"Small, chic airport. Gives a California feel when you enter the terminal. The outdoor waiting area was a very nice addition."
7508,"Great job with the renovation. Bags a bit slow. Good gate agent, forgot a bag and she got it for me."
7510,"LAX Is enjoyable to fly into in the southwest terminal, a few food options and a few gift shops. Tsa was a bit slow (coming from an australian) Overall lax southwest terminal was a good experience for me!"
7511,Sunday mornings had really busy traffic. 20 minutes from getting to the airport to the terminal for drop off. Terminal 6 has excellent amenities.
7512,"As CK status for American, my experience is not typical. However, from the flagship check in, flagship lounge and individualized transportation to the regional gates, LAX is one of the best airports to hold this status with American."
7514,"I was hoping to see a celebrity, but sadly that didn't happen and I wasn't too disappointed because the probability of actually seeing one is astronomically low. This was my first time at LAX and I was actually surprised at the small amount of people there was. Maybe due to the fact that this was in the evening. I don't know. So for this particular flight, not crowded at all and we got our luggage pretty quickly. :)"
7515,TBIT at the time of our flight the best of the LAX terms. Since the airport is under construction transport of any type is a major hassle
